/home/projects/nyosef/eitangr/miniconda3/envs/pixelgen-scvi/lib/python3.10/site-packages/anndata/utils.py:429: FutureWarning: Importing read_elem from `anndata.experimental` is deprecated. Import anndata.io.read_elem instead.
  warnings.warn(msg, FutureWarning)
2025-04-23 11:22:15,741 - Total # Components: 4959
2025-04-23 11:22:15,741 - Loading full edgelist into memory...
2025-04-23 11:28:45,094 - Beginning conversion...
2025-04-23 11:28:50,879 - Calc 0
2025-04-23 11:28:51,155 - Calc 1
2025-04-23 11:28:51,163 - Calc 2
2025-04-23 11:28:51,170 - Calc 3
2025-04-23 11:28:51,172 - Calc 4
2025-04-23 11:28:51,172 - Calc 5
2025-04-23 11:28:51,172 - Calc 6
2025-04-23 11:28:51,172 - Calc 8
2025-04-23 11:28:51,172 - Calc 9
2025-04-23 11:28:51,172 - Calc 10
2025-04-23 11:28:51,172 - Calc 7
2025-04-23 11:28:51,172 - Calc 11
2025-04-23 11:28:51,173 - Calc 12
2025-04-23 11:28:51,173 - Calc 13
2025-04-23 11:28:51,177 - Calc 14
2025-04-23 11:28:51,181 - Calc 15
2025-04-23 11:28:59,233 - Calc 16
2025-04-23 11:28:59,456 - Calc 17
2025-04-23 11:28:59,468 - Calc 18
2025-04-23 11:28:59,678 - Calc 19
2025-04-23 11:28:59,680 - Calc 20
2025-04-23 11:28:59,713 - Calc 21
2025-04-23 11:28:59,753 - Calc 22
2025-04-23 11:28:59,785 - Calc 23
2025-04-23 11:28:59,833 - Calc 24
2025-04-23 11:28:59,856 - Calc 25
2025-04-23 11:29:00,009 - Calc 26
2025-04-23 11:29:00,034 - Calc 27
2025-04-23 11:29:00,036 - Calc 28
2025-04-23 11:29:00,124 - Calc 29
2025-04-23 11:29:00,184 - Calc 30
2025-04-23 11:29:00,223 - Calc 31
2025-04-23 11:29:00,258 - Calc 32
2025-04-23 11:29:00,344 - Calc 33
2025-04-23 11:29:00,399 - Calc 34
2025-04-23 11:29:00,407 - Calc 35
2025-04-23 11:29:00,428 - Calc 36
2025-04-23 11:29:00,445 - Calc 37
2025-04-23 11:29:00,454 - Calc 38
2025-04-23 11:29:00,570 - Calc 39
2025-04-23 11:29:00,609 - Calc 40
2025-04-23 11:29:00,672 - Calc 41
2025-04-23 11:29:00,738 - Calc 42
2025-04-23 11:29:00,840 - Calc 43
2025-04-23 11:29:00,902 - Calc 44
2025-04-23 11:29:00,911 - Calc 45
2025-04-23 11:29:00,927 - Calc 46
2025-04-23 11:29:00,965 - Calc 47
2025-04-23 11:29:01,002 - Calc 48
2025-04-23 11:29:01,073 - Calc 49
2025-04-23 11:29:01,150 - Calc 50
2025-04-23 11:29:01,188 - Calc 51
2025-04-23 11:29:01,197 - Calc 52
2025-04-23 11:29:01,322 - Calc 53
2025-04-23 11:29:01,330 - Calc 54
2025-04-23 11:29:01,381 - Calc 55
2025-04-23 11:29:01,466 - Calc 56
2025-04-23 11:29:01,490 - Calc 57
2025-04-23 11:29:01,582 - Calc 58
2025-04-23 11:29:01,584 - Calc 59
2025-04-23 11:29:01,609 - Calc 60
2025-04-23 11:29:01,638 - Calc 61
2025-04-23 11:29:01,671 - Calc 62
2025-04-23 11:29:01,881 - Calc 63
2025-04-23 11:29:01,929 - Calc 64
2025-04-23 11:29:01,960 - Calc 65
2025-04-23 11:29:02,011 - Calc 66
2025-04-23 11:29:02,183 - Calc 67
2025-04-23 11:29:02,219 - Calc 68
2025-04-23 11:29:02,238 - Calc 69
2025-04-23 11:29:02,282 - Calc 70
2025-04-23 11:29:02,313 - Calc 71
2025-04-23 11:29:02,335 - Calc 72
2025-04-23 11:29:02,415 - Calc 73
2025-04-23 11:29:02,472 - Calc 74
2025-04-23 11:29:02,477 - Calc 75
2025-04-23 11:29:02,513 - Calc 76
2025-04-23 11:29:02,515 - Calc 77
2025-04-23 11:29:02,585 - Calc 78
2025-04-23 11:29:02,845 - Calc 79
2025-04-23 11:29:02,956 - Calc 80
2025-04-23 11:29:02,977 - Calc 81
2025-04-23 11:29:03,060 - Calc 82
2025-04-23 11:29:03,094 - Calc 83
2025-04-23 11:29:03,123 - Calc 84
2025-04-23 11:29:03,123 - Calc 85
2025-04-23 11:29:03,214 - Calc 86
2025-04-23 11:29:03,218 - Calc 87
2025-04-23 11:29:03,305 - Calc 88
2025-04-23 11:29:03,418 - Calc 89
2025-04-23 11:29:03,420 - Calc 90
2025-04-23 11:29:03,509 - Calc 91
2025-04-23 11:29:03,544 - Calc 92
2025-04-23 11:29:03,614 - Calc 93
2025-04-23 11:29:03,619 - Calc 94
2025-04-23 11:29:03,735 - Calc 95
2025-04-23 11:29:03,805 - Calc 96
2025-04-23 11:29:03,865 - Calc 97
2025-04-23 11:29:03,869 - Calc 98
2025-04-23 11:29:03,898 - Calc 99
2025-04-23 11:29:03,937 - Calc 100
2025-04-23 11:29:04,069 - Calc 101
2025-04-23 11:29:04,124 - Calc 102
2025-04-23 11:29:04,146 - Calc 103
2025-04-23 11:29:04,225 - Calc 104
2025-04-23 11:29:04,257 - Calc 105
2025-04-23 11:29:04,295 - Calc 106
2025-04-23 11:29:04,296 - Calc 107
2025-04-23 11:29:04,416 - Calc 108
2025-04-23 11:29:04,457 - Calc 109
2025-04-23 11:29:04,585 - Calc 110
2025-04-23 11:29:04,618 - Calc 111
2025-04-23 11:29:04,626 - Calc 112
2025-04-23 11:29:04,690 - Calc 113
2025-04-23 11:29:04,738 - Calc 114
