/home/projects/nyosef/eitangr/miniconda3/envs/pixelgen-scvi/lib/python3.10/site-packages/anndata/utils.py:429: FutureWarning: Importing read_elem from `anndata.experimental` is deprecated. Import anndata.io.read_elem instead.
  warnings.warn(msg, FutureWarning)
2025-06-24 16:43:03,449 - Total # Components: 3516
2025-06-24 16:43:03,449 - Loading full edgelist into memory (this could take a few minutes)...
2025-06-24 16:43:29,221 - Beginning conversion...
2025-06-24 16:43:29,644 - Calc 0
2025-06-24 16:43:29,645 - Calc 1
2025-06-24 16:43:29,645 - Calc 2
2025-06-24 16:43:29,645 - Calc 3
2025-06-24 16:43:29,645 - Calc 4
2025-06-24 16:43:29,645 - Calc 5
2025-06-24 16:43:29,645 - Calc 6
2025-06-24 16:43:29,645 - Calc 7
2025-06-24 16:43:29,646 - Calc 8
2025-06-24 16:43:29,646 - Calc 9
2025-06-24 16:43:29,646 - Calc 10
2025-06-24 16:43:29,646 - Calc 11
2025-06-24 16:43:29,649 - Calc 12
2025-06-24 16:43:29,649 - Calc 13
2025-06-24 16:43:29,650 - Calc 14
2025-06-24 16:43:29,653 - Calc 15
2025-06-24 16:43:34,241 - Calc 16
2025-06-24 16:43:34,254 - Calc 17
2025-06-24 16:43:34,273 - Calc 18
2025-06-24 16:43:34,395 - Calc 19
2025-06-24 16:43:34,401 - Calc 20
2025-06-24 16:43:34,594 - Calc 21
2025-06-24 16:43:34,686 - Calc 22
2025-06-24 16:43:34,753 - Calc 23
2025-06-24 16:43:34,793 - Calc 24
2025-06-24 16:43:34,821 - Calc 25
2025-06-24 16:43:34,923 - Calc 26
2025-06-24 16:43:34,999 - Calc 27
2025-06-24 16:43:35,032 - Calc 28
2025-06-24 16:43:35,115 - Calc 29
2025-06-24 16:43:35,244 - Calc 30
2025-06-24 16:43:35,270 - Calc 31
2025-06-24 16:43:35,524 - Calc 32
2025-06-24 16:43:35,526 - Calc 33
2025-06-24 16:43:35,548 - Calc 34
2025-06-24 16:43:35,629 - Calc 35
2025-06-24 16:43:35,771 - Calc 36
2025-06-24 16:43:35,832 - Calc 37
2025-06-24 16:43:35,879 - Calc 38
2025-06-24 16:43:35,889 - Calc 39
2025-06-24 16:43:35,958 - Calc 40
2025-06-24 16:43:35,991 - Calc 41
2025-06-24 16:43:36,050 - Calc 42
2025-06-24 16:43:36,095 - Calc 43
2025-06-24 16:43:36,186 - Calc 44
2025-06-24 16:43:36,190 - Calc 45
2025-06-24 16:43:36,250 - Calc 46
2025-06-24 16:43:36,309 - Calc 47
2025-06-24 16:43:36,375 - Calc 48
2025-06-24 16:43:36,466 - Calc 49
2025-06-24 16:43:36,678 - Calc 50
2025-06-24 16:43:36,692 - Calc 51
2025-06-24 16:43:36,724 - Calc 52
2025-06-24 16:43:36,875 - Calc 53
2025-06-24 16:43:36,894 - Calc 54
2025-06-24 16:43:36,921 - Calc 55
2025-06-24 16:43:36,979 - Calc 56
2025-06-24 16:43:37,059 - Calc 57
2025-06-24 16:43:37,135 - Calc 58
2025-06-24 16:43:37,190 - Calc 59
